0,35,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,24,0,0,0,0,0,0
0,49,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,52,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,43,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,16,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,36,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,19,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,43,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,33,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,37,0,0,0,0,0,0
0,28,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,21,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,24,0,0,0,0,0,0
0,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,21,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,40,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,14,0,0,0,0,0,0
0,62,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,131,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,169,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,18,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,47,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,55,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0
0,41,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,43,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,23,0,0,0,0,0,0
0,27,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,89,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,65,0,0,0,0,0,0
0,85,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,52,0,0,0,0,0,0
0,66,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,54,0,0,0,0,0,0
0,24,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,72,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,74,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,48,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,26,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,17,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,14,0,0,0,0,0,0
0,47,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,36,0,0,0,0,0,0
0,41,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,40,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,38,0,0,0,0,0,0
0,36,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,27,0,0,0,0,0,0
0,45,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,26,0,0,0,0,0,0
0,48,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,67,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,75,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,159,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,100,0,0,0,0,0,0
0,41,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,37,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,12,0,0,0,0,0,0
0,72,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,19,0,0,0,0,0,0
1,650,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,121,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0
1,45,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0
1,61,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,29,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1,12,0,0,0,0,0,100,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,42,0,0,0,0,0,0
1,52,-11,2,0,0,0,100,0,35,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0
1,45,-20,6,0,0,0,100,0,1,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,42,0,0,0,0,0,0
1,124,-9,1,0,0,0,100,0,108,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,112,0,0,0,0,0,0
1,23,-8,1,0,0,0,100,0,52,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1,63,-13,4,0,0,0,100,0,53,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,69,0,0,0,0,0,0
1,11,-7,0,0,0,0,100,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,55,0,0,0,0,0,0
1,84,-11,1,0,0,0,100,0,51,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,16,0,0,0,0,0,0
1,20,-6,1,0,0,0,100,0,25,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,23,0,0,0,0,0,0
1,53,-12,2,0,0,0,100,0,69,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,54,0,0,0,0,0,0
1,9,-7,1,0,0,0,100,0,42,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0
1,65,-5,0,0,0,0,100,0,18,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,27,0,0,0,0,0,0
1,2,-10,-2,0,0,0,100,0,52,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,37,0,0,0,0,0,0
1,16,-4,-2,0,0,0,100,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,70,0,0,0,0,0,0
1,2,-4,-3,0,0,0,100,0,39,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0
1,26,-9,-5,0,0,0,100,0,85,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,129,0,0,0,0,0,0
1,19,-5,-3,0,0,0,100,0,53,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,72,0,0,0,0,0,0
1,37,-10,-1,0,0,0,100,0,18,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,41,0,0,0,0,0,0
1,43,-6,-1,0,0,0,100,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,43,0,0,0,0,0,0
1,25,-9,-1,0,0,0,100,0,20,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,20,0,0,0,0,0,0
1,11,-6,0,0,0,0,100,0,52,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0
1,35,-6,0,0,0,0,100,0,22,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,53,-12,0,0,0,0,100,0,69,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0
1,15,-7,0,0,0,0,100,0,82,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,31,0,0,0,0,0,0
1,32,-10,3,0,0,0,100,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0
1,19,-6,0,0,0,0,100,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0
1,32,-7,1,0,0,0,100,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,39,-11,0,0,0,0,100,0,87,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,65,0,0,0,0,0,0
1,30,-7,-1,0,0,0,100,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
1,5,-6,-1,0,0,0,100,0,38,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,46,0,0,0,0,0,0
1,26,-13,-1,0,0,0,100,0,16,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,92,0,0,0,0,0,0
1,29,-10,0,0,0,0,100,0,12,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,21,0,0,0,0,0,0
1,9,-14,-1,0,0,0,100,0,13,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1,14,-8,-1,0,0,0,100,0,47,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,48,0,0,0,0,0,0
1,16,-16,3,0,0,0,100,0,106,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37,0,0,0,0,0,0
1,64,-10,1,0,0,0,100,0,77,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,48,0,0,0,0,0,0
1,22,-20,7,0,0,0,100,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1,2,-11,2,0,0,0,100,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,39,-10,3,0,0,0,100,0,48,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,69,0,0,0,0,0,0
1,3,-21,5,0,0,0,100,0,179,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,16,-11,1,0,0,0,100,0,134,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,73,-18,6,0,0,0,100,0,58,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,53,0,0,0,0,0,0
1,2,-10,2,0,0,0,100,0,7,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,34,0,0,0,0,0,0
1,67,-10,3,0,0,0,100,0,42,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,25,0,0,0,0,0,0
1,39,-16,5,0,0,0,100,0,29,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,39,0,0,0,0,0,0
1,6,-9,1,0,0,0,100,0,20,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,25,0,0,0,0,0,0
1,4,-9,3,0,0,0,100,0,22,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6,-17,6,0,0,0,100,0,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,118,0,0,0,0,0,0
1,16,-7,2,0,0,0,100,0,49,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,94,0,0,0,0,0,0
1,25,-11,4,0,0,0,100,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,45,0,0,0,0,0,0
1,29,-5,2,0,0,2,100,0,11,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0
1,24,-12,3,0,0,14,100,0,86,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,149,0,0,0,0,0,0
1,14,-7,1,0,0,21,100,0,64,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,69,0,0,0,0,0,0
1,46,-12,2,0,0,33,100,0,50,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0
1,40,-4,1,0,0,37,100,0,45,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,41,0,0,0,0,0,0
1,79,-2,0,0,0,39,100,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,150,-2,0,0,0,41,100,0,34,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,10,-2,-1,0,0,43,100,0,72,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,0,0,0,0,0,0
0,6,-1,0,0,0,44,100,0,44,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,19,0,0,0,0,0,0
1,64,-5,4,0,0,49,100,0,4,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,5,-7,3,0,0,50,100,0,35,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,39,0,0,0,0,0,0
1,579,-13,5,0,0,50,100,0,39,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,30,0,0,0,0,0,0
0,280,-13,2,0,0,50,100,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,102,-13,5,0,0,50,100,0,38,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,152,0,0,0,0,0,0
0,28,-12,3,0,0,50,100,0,75,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,161,0,0,0,0,0,0
0,17,-11,3,0,0,50,100,0,47,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,7,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,0,0,0,0
0,41,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,20,0,0,0,0,0,0
0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0
0,37,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,16,0,0,0,0,0,0,1,1391,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,20,0,0,0,0,0,0,1,122,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0
0,39,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,26,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,40,0,0,0,0,0,0
0,18,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,60,0,0,0,0,0,0
0,34,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,11,0,0,0,0,0,0
0,17,0,0,0,0,0,0,1,118,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,80,0,0,0,0,0,0
0,9,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,40,0,0,0,0,0,0
0,10,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,33,0,0,0,0,0,0
0,19,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,47,0,0,0,0,0,0
0,61,0,0,0,0,0,0,1,75,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,35,0,0,0,0,0,0
0,24,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,6,0,0,0,0,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
0,8,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,36,0,0,0,0,0,0
0,18,0,0,0,0,0,0,1,39,0,0,0,0,100,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,43,0,0,0,0,0,0,1,109,-10,3,0,0,100,0,0,28,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,86,0,0,0,0,0,0,1,10,-10,2,0,0,100,0,0,28,0,0,0,0,0,0,0,128,0,0,0,0,0,0
0,56,0,0,0,0,0,0,1,29,-13,1,0,0,100,0,0,30,0,0,0,0,0,0,0,37,0,0,0,0,0,0
0,44,0,0,0,0,0,0,1,6,-19,2,0,0,100,0,0,16,0,0,0,0,0,0,0,36,0,0,0,0,0,0
0,26,0,0,0,0,0,0,1,11,-9,1,0,0,100,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0,12,0,0,0,0,0,0,1,46,-18,1,0,0,100,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,1,44,-9,1,0,0,100,0,0,39,0,0,0,0,0,0,0,34,0,0,0,0,0,0
0,24,0,0,0,0,0,0,1,61,-19,-3,0,0,100,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,20,-10,-3,0,0,100,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,35,0,0,0,0,0,0,1,15,-17,-5,0,0,100,0,0,59,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,14,0,0,0,0,0,0,1,22,-10,-2,0,0,100,0,0,56,0,0,0,0,0,0,0,48,0,0,0,0,0,0
0,11,0,0,0,0,0,0,1,64,-9,0,0,0,100,0,0,12,0,0,0,0,0,0,0,88,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,23,-19,3,0,0,100,0,0,17,0,0,0,0,0,0,0,37,0,0,0,0,0,0
0,42,0,0,0,0,0,0,1,52,-10,4,0,0,100,0,0,12,0,0,0,0,0,0,0,52,0,0,0,0,0,0
0,105,0,0,0,0,0,0,1,43,-19,3,0,0,100,0,0,20,0,0,0,0,0,0,0,46,0,0,0,0,0,0
0,27,0,0,0,0,0,0,1,0,-11,6,0,0,100,0,0,16,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,14,0,0,0,0,0,0,1,57,-21,9,0,0,100,0,0,18,0,0,0,0,0,0,0,39,0,0,0,0,0,0
0,48,0,0,0,0,0,0,1,73,-10,6,0,0,100,0,0,17,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,47,0,0,0,0,0,0,1,79,-10,4,0,0,100,0,0,21,0,0,0,0,0,0,0,54,0,0,0,0,0,0
0,12,0,0,0,0,0,0,1,13,-10,4,0,0,100,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,28,0,0,0,0,0,0,1,21,-20,6,0,0,100,0,0,9,0,0,0,0,0,0,0,32,0,0,0,0,0,0
0,32,0,0,0,0,0,0,1,74,-9,4,0,0,100,0,0,19,0,0,0,0,0,0,0,79,0,0,0,0,0,0
0,20,0,0,0,0,0,0,1,18,-19,7,0,0,100,0,0,22,0,0,0,0,0,0,0,47,0,0,0,0,0,0
0,20,0,0,0,0,0,0,1,11,-10,5,0,0,100,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,17,0,0,0,0,0,0,1,40,-19,6,0,0,100,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0
0,94,0,0,0,0,0,0,1,22,-10,3,0,0,100,0,0,13,0,0,0,0,0,0,0,70,0,0,0,0,0,0
0,89,0,0,0,0,0,0,1,108,-25,1,0,0,100,0,0,19,0,0,0,0,0,0,0,41,0,0,0,0,0,0
0,84,0,0,0,0,0,0,1,0,-16,0,0,0,100,0,0,1,0,0,0,0,0,0,0,67,0,0,0,0,0,0
0,83,0,0,0,0,0,0,1,9,-16,0,0,0,100,0,0,28,0,0,0,0,0,0,0,68,0,0,0,0,0,0
0,21,0,0,0,0,0,0,1,9,-38,0,0,37,100,0,0,21,0,0,0,0,0,0,0,30,0,0,0,0,0,0
0,26,0,0,0,0,0,0,1,126,-19,1,0,50,100,0,0,63,0,0,0,0,0,0,0,54,0,0,0,0,0,0
0,17,0,0,0,0,0,0,1,29,-22,2,0,50,100,0,0,12,0,0,0,0,0,0,0,20,0,0,0,0,0,0
0,3,0,0,0,0,0,0,1,266,57,5,0,21,100,0,0,20,0,0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,196,55,5,0,0,100,0,0,70,0,0,0,0,0,0,0,53,0,0,0,0,0,0
0,11,0,0,0,0,0,0,1,1074,53,4,0,0,100,0,0,41,0,0,0,0,0,0,0,19,0,0,0,0,0,0
0,77,0,0,0,0,0,0,0,10,52,4,0,0,100,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0
0,38,0,0,0,0,0,0,0,58,51,3,0,0,100,0,0,64,0,0,0,0,0,0,0,75,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,128,44,4,0,0,100,0,0,139,0,0,0,0,0,0,0,90,0,0,0,0,0,0
0,10,0,0,0,0,0,0,0,35,36,6,0,0,100,0,0,102,0,0,0,0,0,0,0,25,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,6,32,6,0,0,100,0,0,56,0,0,0,0,0,0,0,14,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,49,18,5,0,0,100,0,0,81,0,0,0,0,0,0,0,29,0,0,0,0,0,0
0,68,0,0,0,0,0,0,0,14,13,4,0,0,100,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,0,0,0,0,0,0,106,12,4,0,0,100,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,47,0,0,0,0,0,0,0,109,6,2,0,0,100,0,0,29,0,0,0,0,0,0,0,18,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,9,6,2,0,0,100,0,0,25,0,0,0,0,0,0,0,22,0,0,0,0,0,0
0,67,0,0,0,0,0,0,0,25,5,2,0,0,100,0,0,10,0,0,0,0,0,0,0,42,0,0,0,0,0,0
0,64,0,0,0,0,0,0,0,3,4,1,0,0,100,0,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0
0,15,0,0,0,0,0,0,0,3,3,1,0,0,100,0,0,18,0,0,0,0,0,0,0,42,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,44,2,1,0,0,100,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0
